LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Individual Spayed Female,BICHON FRISE,WHITE,CHLOE,15090,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BLACK/BROWN,CHALUPA,15120,2017,3/23/2017 14:32
Dog Individual Spayed Female,LAB MIX,YELLOW,MIA,15133,2017,2/28/2017 10:59
Dog Individual Male,DACHSHUND,BLACK/BROWN/GREY,CODY,15108,2017,2/9/2017 13:40
Dog Individual Spayed Female,DACHSHUND,BLACK,SOPHIE,15108,2017,2/9/2017 13:40
Dog Senior Citizen or Disability Neutered Male,TERRIER,SPOTTED,MAX,15228,2017,1/4/2017 15:49
Dog Individual Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
Dog Individual Spayed Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
Dog Individual Spayed Female,GER SHEPHERD,BLACK/TAN,ARWEN,15218,2017,1/3/2017 13:12
Dog Individual Spayed Female,SCHNOODLE,GREY,RILEY,15202,2017,1/4/2017 8:39
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,
Dog Senior Citizen or Disability Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,12/29/2016 12:14
Dog Senior Citizen or Disability Duplicate,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,3/20/2017 13:10
Dog Individual Neutered Male,SHIH TZU,BLACK/BROWN,TELLER,15146,2017,2/10/2017 13:32
Dog Individual Neutered Male,SHIH TZU,WHITE/TAN,JACK,15146,2017,2/10/2017 13:32
Dog Senior Citizen or Disability Neutered Male,OLD ENG SHEEPDOG,WHITE/GREY,MAX,15129,2017,12/12/2016 11:09
Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,BAILEY,15236,2017,12/15/2016 14:50
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,RAKEISHA,15025,2017,12/19/2016 15:13
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA MIX,WHITE/TAN,ZEEBA,15025,2017,12/19/2016 15:13
Dog Individual Neutered Male,BOXER MIX,WHITE/BROWN,TYSON,15221,2017,12/20/2016 14:59
